observation_id,entry_date,exit_date,underlying_return,spy_entry_price
SPY_20210129_20210226,2021-01-29,2021-02-26,0.0329420655247905,343.62548828125
SPY_20210226_20210331,2021-02-26,2021-03-31,0.0368344913339602,353.18017578125
SPY_20210331_20210430,2021-03-31,2021-04-30,0.0454427421188919,369.2142333984375
SPY_20210430_20210528,2021-04-30,2021-05-28,0.0072560428949956,388.7495422363281
SPY_20210528_20210630,2021-05-28,2021-06-30,0.0203881333824128,391.3021240234375
SPY_20210630_20210730,2021-06-30,2021-07-30,0.0138252360038336,400.07806396484375
SPY_20210730_20210831,2021-07-30,2021-08-31,0.027424045287636,409.8449401855469
SPY_20210831_20210930,2021-08-31,2021-09-30,-0.04739598516029,422.04180908203125
SPY_20210930_20211029,2021-09-30,2021-10-29,0.066183548569696,402.3723449707031
SPY_20211029_20211130,2021-10-29,2021-11-30,-0.0171654689358722,430.6042175292969
SPY_20211130_20211231,2021-11-30,2021-12-31,0.034758756447176,427.14447021484375
SPY_20211231_20220131,2021-12-31,2022-01-31,-0.0660880762192606,446.8988952636719
SPY_20220131_20220228,2022-01-31,2022-02-28,-0.0273780025373324,423.3289489746094
SPY_20220228_20220331,2022-02-28,2022-03-31,0.0324368121112932,410.8334655761719
SPY_20220331_20220429,2022-03-31,2022-04-29,-0.0901476182062236,426.27691650390625
SPY_20220429_20220531,2022-04-29,2022-05-31,0.0041293030535054,388.8630065917969
SPY_20220531_20220630,2022-05-31,2022-06-30,-0.0858678175399063,389.7407531738281
SPY_20220630_20220729,2022-06-30,2022-07-29,0.0824367356370145,357.6025695800781
SPY_20220729_20220831,2022-07-29,2022-08-31,-0.0378682214672697,390.5332336425781
SPY_20220831_20220930,2022-08-31,2022-09-30,-0.0908922907629874,374.5987854003906
SPY_20220930_20221031,2022-09-30,2022-10-31,0.0995182951809006,339.9685974121094
SPY_20221031_20221130,2022-10-31,2022-11-30,0.0559175077748806,367.5997314453125
SPY_20221130_20221230,2022-11-30,2022-12-30,-0.0554166900833128,388.03515625
SPY_20221230_20230131,2022-12-30,2023-01-31,0.0596076697136907,365.67340087890625
SPY_20230131_20230228,2023-01-31,2023-02-28,-0.0296423697310523,388.66961669921875
SPY_20230228_20230331,2023-02-28,2023-03-31,0.0198668609521555,378.89752197265625
SPY_20230331_20230428,2023-03-31,2023-04-28,0.0101960423025272,392.9461975097656
SPY_20230428_20230531,2023-04-28,2023-05-31,-0.0104173635050343,399.22344970703125
SPY_20230531_20230630,2023-05-31,2023-06-30,0.0678453024149047,401.0662841796875
SPY_20230630_20230731,2023-06-30,2023-07-31,0.0359031735548557,427.05535888671875
SPY_20230731_20230831,2023-07-31,2023-08-31,-0.0144760868189134,441.0343017578125
SPY_20230831_20230929,2023-08-31,2023-09-29,-0.0481280710251054,433.8665771484375
SPY_20230929_20231031,2023-09-29,2023-10-31,-0.0258410572187625,413.2863464355469
SPY_20231031_20231130,2023-10-31,2023-11-30,0.088676380852638,404.31451416015625
SPY_20231130_20231229,2023-11-30,2023-12-29,0.0593818087869929,441.2460632324219
SPY_20231229_20240131,2023-12-29,2024-01-31,0.01550714494781,461.39129638671875
SPY_20240131_20240229,2024-01-31,2024-02-29,0.0619945171799739,468.73968505859375
SPY_20240229_20240328,2024-02-29,2024-03-28,0.0340997550885085,493.2016906738281
SPY_20240328_20240430,2024-03-28,2024-04-30,-0.0514056402847065,509.3303527832031
SPY_20240430_20240531,2024-04-30,2024-05-31,0.0505047516906946,488.79437255859375
SPY_20240531_20240628,2024-05-31,2024-06-28,0.0257650255227427,513.5174560546875
SPY_20240628_20240731,2024-06-28,2024-07-31,0.0189185886583793,531.6343994140625
SPY_20240731_20240830,2024-07-31,2024-08-30,0.021933253128307,538.072021484375
SPY_20240830_20240930,2024-08-30,2024-09-30,0.0169462328020594,550.6444091796875
SPY_20240930_20241031,2024-09-30,2024-10-31,-0.0114114650379732,562.2103881835938
SPY_20241031_20241129,2024-10-31,2024-11-29,0.0647720296069697,557.1935424804688
SPY_20241129_20241231,2024-11-29,2024-12-31,-0.044620507697694,590.4208984375
SPY_20241231_20250131,2024-12-31,2025-01-31,0.0350556498188506,576.2152099609375
SPY_20250131_20250228,2025-01-31,2025-02-28,-0.0117603016310133,591.6903076171875
SPY_20250228_20250331,2025-02-28,2025-03-31,-0.0577121414478098,584.178955078125
SPY_20250331_20250430,2025-03-31,2025-04-30,-0.006468403535985,551.6289672851562
SPY_20250430_20250530,2025-04-30,2025-05-30,0.0599448094902007,546.8462524414062
SPY_20250530_20250630,2025-05-30,2025-06-30,0.0457229197928599,581.2128295898438
SPY_20250630_20250731,2025-06-30,2025-07-31,0.0100130639752738,611.0790405273438
SPY_20250731_20250829,2025-07-31,2025-08-29,0.0319907464368034,625.1531982421875
SPY_20250829_20250930,2025-08-29,2025-09-30,0.0390287234924313,637.9810180664062
SPY_20250930_20251031,2025-09-30,2025-10-31,0.0147163959370477,660.7061157226562
SPY_20251031_20251128,2025-10-31,2025-11-28,0.0054530172375269,676.4556274414062
SPY_20251128_20251231,2025-11-28,2025-12-31,0.0056562562404781,677.7747192382812
