observation_id,entry_date,exit_date,underlying_return,coverage_status,put_spread_overlay_return,collar_overlay_return,put_spread_total_return,collar_total_return
SPY_20210129_20210226,2021-01-29,2021-02-26,0.0329420655247905,executable_exact_contracts,-0.010344210770950778,-0.014644547262267988,0.022597854753839724,0.018297518262522516
SPY_20210226_20210331,2021-02-26,2021-03-31,0.0368344913339602,executable_exact_contracts,-0.008783550003486075,-0.011601344722686077,0.028050941330474123,0.02523314661127412
SPY_20210331_20210430,2021-03-31,2021-04-30,0.0454427421188919,executable_exact_contracts,-0.006632378818896992,-0.017468531404779598,0.038810363299994904,0.0279742107141123
SPY_20210430_20210528,2021-04-30,2021-05-28,0.0072560428949956,executable_exact_contracts,-0.006040507424506604,-0.006221515780549183,0.001215535470488996,0.0010345271144464171
SPY_20210528_20210630,2021-05-28,2021-06-30,0.0203881333824128,executable_exact_contracts,-0.004434034426786396,-0.007285586114928284,0.015954098955626404,0.013102547267484515
SPY_20210630_20210730,2021-06-30,2021-07-30,0.0138252360038336,executable_exact_contracts,-0.004110636120183717,-0.007753926080004249,0.009714599883649883,0.00607130992382935
SPY_20210730_20210831,2021-07-30,2021-08-31,0.027424045287636,executable_exact_contracts,-0.005435264119775597,-0.008869095242377511,0.0219887811678604,0.01855495004525849
SPY_20210831_20210930,2021-08-31,2021-09-30,-0.04739598516029,executable_exact_contracts,0.009608395973720832,0.011323330307156378,-0.037787589186569166,-0.03607265485313362
SPY_20210930_20211029,2021-09-30,2021-10-29,0.066183548569696,executable_exact_contracts,-0.008609097448625211,-0.03159333904100825,0.057574451121070784,0.03459020952868774
SPY_20211029_20211130,2021-10-29,2021-11-30,-0.0171654689358722,executable_exact_contracts,-0.0008310787797675604,-0.000527594955695136,-0.01799654771563976,-0.017693063891567336
SPY_20211130_20211231,2021-11-30,2021-12-31,0.034758756447176,executable_exact_contracts,-0.00796861124698071,-0.013922712385451239,0.02679014520019529,0.020836044061724762
SPY_20211231_20220131,2021-12-31,2022-01-31,-0.0660880762192606,executable_exact_contracts,0.01312283349238442,0.02317752422103686,-0.05296524272687619,-0.042910551998223745
SPY_20220131_20220228,2022-01-31,2022-02-28,-0.0273780025373324,executable_exact_contracts,0.000484420678646541,0.0012205501412956964,-0.02689358185868586,-0.0261574523960367
SPY_20220228_20220331,2022-02-28,2022-03-31,0.0324368121112932,executable_exact_contracts,-0.010609476011257443,-0.014524411808769412,0.021827336100035757,0.017912400302523786
SPY_20220331_20220429,2022-03-31,2022-04-29,-0.0901476182062236,executable_exact_contracts,0.03212797062093083,0.042433257732899986,-0.05801964758529277,-0.04771436047332362
SPY_20220429_20220531,2022-04-29,2022-05-31,0.0041293030535054,executable_exact_contracts,-0.005418325899495634,-0.011260604779676999,-0.0012890228459902344,-0.007131301726171599
SPY_20220531_20220630,2022-05-31,2022-06-30,-0.0858678175399063,executable_exact_contracts,0.023455765139971278,0.027814709838294507,-0.062412052399935025,-0.05805310770161179
SPY_20220630_20220729,2022-06-30,2022-07-29,0.0824367356370145,executable_exact_contracts,-0.011710868638170861,-0.03470532506165565,0.07072586699884363,0.047731410575358846
SPY_20220729_20220831,2022-07-29,2022-08-31,-0.0378682214672697,executable_exact_contracts,0.0011171261210122802,0.0022754366151494366,-0.03675109534625742,-0.035592784852120266
