date,rank_autocorrelation,top_quantile_turnover,bottom_quantile_turnover
2010-01-29,,,
2010-02-26,0.8634564101001174,0.2806122448979592,0.23979591836734693
2010-03-31,0.8810429732824512,0.29591836734693877,0.2602040816326531
2010-04-30,0.9599221564629274,0.18781725888324874,0.10152284263959388
2010-05-28,0.9588657180079216,0.2142857142857143,0.16326530612244894
2010-06-30,0.9467762559568906,0.21938775510204078,0.15306122448979587
2010-07-30,0.959332389829413,0.19487179487179485,0.10769230769230764
2010-08-31,0.9470641649232344,0.20512820512820518,0.15897435897435896
2010-09-30,0.963101129124489,0.18877551020408168,0.13265306122448983
2010-10-29,0.9589443111178871,0.14213197969543145,0.15228426395939088
2010-11-30,0.9439525917402162,0.18274111675126903,0.14720812182741116
2010-12-31,0.9598230820070047,0.18367346938775508,0.1377551020408163
2011-01-31,0.9602979427309518,0.18367346938775508,0.1428571428571429
2011-02-28,0.8987114165111972,0.2564102564102564,0.2102564102564103
2011-03-31,0.91416393000993,0.18974358974358974,0.19999999999999996
2011-04-29,0.9692332664288003,0.16410256410256407,0.11794871794871797
2011-05-31,0.9642891967754488,0.18461538461538463,0.1384615384615384
2011-06-30,0.9316012079823931,0.23979591836734693,0.15816326530612246
2011-07-29,0.9368757521877412,0.24102564102564106,0.16410256410256407
2011-08-31,0.9548980144368399,0.20512820512820518,0.14358974358974363
2011-09-30,0.9249388502402915,0.2806122448979592,0.1428571428571429
2011-10-31,0.936232301661767,0.25,0.15306122448979587
2011-11-30,0.9412303540588342,0.24489795918367352,0.18367346938775508
2011-12-30,0.9687285630735275,0.16326530612244894,0.11224489795918369
2012-01-31,0.9531465198947461,0.1743589743589744,0.16923076923076918
2012-02-29,0.9164182935745707,0.22564102564102562,0.2153846153846154
2012-03-30,0.9372826633867213,0.18877551020408168,0.19897959183673475
2012-04-30,0.9723068761478865,0.16836734693877553,0.15306122448979587
2012-05-31,0.9669231239939027,0.12244897959183676,0.11224489795918369
2012-06-29,0.9656556335866565,0.16923076923076918,0.10769230769230764
2012-07-31,0.9572788495762222,0.18974358974358974,0.16410256410256407
2012-08-31,0.9564201761286781,0.19387755102040816,0.16326530612244894
2012-09-28,0.9439592658375173,0.2142857142857143,0.15816326530612246
2012-10-31,0.931063028315421,0.22448979591836737,0.18367346938775508
2012-11-30,0.961745485652881,0.1743589743589744,0.11794871794871797
2012-12-31,0.9545727121443568,0.15897435897435896,0.14871794871794874
2013-01-31,0.9563647814561905,0.15306122448979587,0.14795918367346939
2013-02-28,0.9001156840749457,0.19387755102040816,0.25
2013-03-28,0.9171251386295216,0.1624365482233503,0.18274111675126903
2013-04-30,0.9676135429394239,0.13705583756345174,0.13705583756345174
2013-05-31,0.9613558524831647,0.1624365482233503,0.12690355329949243
2013-06-28,0.9329557192749259,0.2091836734693877,0.18877551020408168
2013-07-31,0.9630777103255578,0.173469387755102,0.1428571428571429
2013-08-30,0.9410542009275807,0.19897959183673475,0.15306122448979587
2013-09-30,0.9633637546010149,0.17948717948717952,0.1282051282051282
2013-10-31,0.9627419329639093,0.1785714285714286,0.16326530612244894
2013-11-29,0.944787769176027,0.17948717948717952,0.14871794871794874
2013-12-31,0.9581931236455312,0.15897435897435896,0.12307692307692308
2014-01-31,0.9365322724956628,0.20618556701030932,0.15979381443298968
2014-02-28,0.8541461688796326,0.25773195876288657,0.25257731958762886
2014-03-31,0.9288378540217184,0.20512820512820518,0.14871794871794874
2014-04-30,0.9733778632251167,0.16410256410256407,0.10769230769230764
2014-05-30,0.961772487274834,0.20618556701030932,0.11855670103092786
2014-06-30,0.9705935053359608,0.1282051282051282,0.1282051282051282
2014-07-31,0.9559837878052341,0.17098445595854928,0.12435233160621761
2014-08-29,0.9730528023328909,0.12435233160621761,0.11398963730569944
2014-09-30,0.9545253680616391,0.19587628865979378,0.1649484536082474
2014-10-31,0.9732575789201467,0.1384615384615384,0.1282051282051282
2014-11-28,0.961154055553903,0.14432989690721654,0.1030927835051546
2014-12-31,0.9619759449918511,0.17616580310880825,0.11917098445595853
2015-01-30,0.9635285006575264,0.15544041450777202,0.15025906735751293
2015-02-27,0.8922347561404917,0.2680412371134021,0.2319587628865979
